,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight,Fight Time (s),Fight Time (mins)
0,Chan Sung Jung,Punches,KO/TKO,Frankie Edgar,1,1,46,0,0,3:18,Win,Featherweight,198,3.3
1,Frankie Edgar,Punches,KO/TKO,Chan Sung Jung,0,1,9,0,0,3:18,Loss,Featherweight,198,3.3
2,Volkan Oezdemir,,S-DEC,Aleksandar Rakic,0,3,63,0,0,5:00,Win,Light Heavyweight,900,15.0
3,Aleksandar Rakic,,S-DEC,Volkan Oezdemir,0,3,75,1,1,5:00,Loss,Light Heavyweight,900,15.0
4,Charles Jourdain,Punches,KO/TKO,Dooho Choi,0,2,64,0,0,4:32,Win,Featherweight,572,9.533333333333333
5,Dooho Choi,Punches,KO/TKO,Charles Jourdain,0,2,42,0,0,4:32,Loss,Featherweight,572,9.533333333333333
6,Da-Un Jung,Punch,KO/TKO,Mike Rodriguez,0,1,5,0,0,1:04,Win,Light Heavyweight,64,1.0666666666666667
7,Mike Rodriguez,Punch,KO/TKO,Da-Un Jung,0,1,4,0,0,1:04,Loss,Light Heavyweight,64,1.0666666666666667
8,Junyong Park,,U-DEC,Marc-Andre Barriault,0,3,77,0,5,5:00,Win,Middleweight,900,15.0
9,Marc-Andre Barriault,,U-DEC,Junyong Park,0,3,51,0,0,5:00,Loss,Middleweight,900,15.0
10,Kyung Ho Kang,,S-DEC,Liu Pingyuan,2,3,20,0,3,5:00,Win,Bantamweight,900,15.0
11,Liu Pingyuan,,S-DEC,Kyung Ho Kang,0,3,25,0,0,5:00,Loss,Bantamweight,900,15.0
12,Ciryl Gane,,U-DEC,Tanner Boser,0,3,65,0,0,5:00,Win,Heavyweight,900,15.0
13,Tanner Boser,,U-DEC,Ciryl Gane,0,3,32,0,0,5:00,Loss,Heavyweight,900,15.0
14,SeungWoo Choi,,U-DEC,Suman Mokhtarian,2,3,95,0,0,5:00,Win,Featherweight,900,15.0
15,Suman Mokhtarian,,U-DEC,SeungWoo Choi,0,3,33,0,0,5:00,Loss,Featherweight,900,15.0
16,Omar Morales,,U-DEC,Dong Hyun Ma,3,3,32,0,1,5:00,Win,Lightweight,900,15.0
17,Dong Hyun Ma,,U-DEC,Omar Morales,0,3,15,0,0,5:00,Loss,Lightweight,900,15.0
18,Alexandre Pantoja,Punch,KO/TKO,Matt Schnell,1,1,34,0,1,4:17,Win,Flyweight,257,4.283333333333333
19,Matt Schnell,Punch,KO/TKO,Alexandre Pantoja,0,1,20,0,0,4:17,Loss,Flyweight,257,4.283333333333333
20,Raoni Barcelos,,U-DEC,Said Nurmagomedov,4,3,42,0,2,5:00,Win,Bantamweight,900,15.0
21,Said Nurmagomedov,,U-DEC,Raoni Barcelos,0,3,55,0,0,5:00,Loss,Bantamweight,900,15.0
22,Amanda Lemos,Rear Naked Choke,SUB,Miranda Granger,1,1,8,1,1,3:43,Win,Women's Strawweight,223,3.716666666666667
23,Miranda Granger,Rear Naked Choke,SUB,Amanda Lemos,0,1,4,0,0,3:43,Loss,Women's Strawweight,223,3.716666666666667
24,Heili Alateng,,S-DEC,Ryan Benoit,0,3,47,0,4,5:00,Win,Bantamweight,900,15.0
25,Ryan Benoit,,S-DEC,Heili Alateng,0,3,68,0,0,5:00,Loss,Bantamweight,900,15.0
26,Kamaru Usman,Punch,KO/TKO,Colby Covington,0,5,175,0,0,4:10,Win,Welterweight,1450,24.166666666666668
27,Colby Covington,Punch,KO/TKO,Kamaru Usman,0,5,143,0,0,4:10,Loss,Welterweight,1450,24.166666666666668
28,Alexander Volkanovski,,U-DEC,Max Holloway,0,5,157,0,0,5:00,Win,Featherweight,1500,25.0
29,Max Holloway,,U-DEC,Alexander Volkanovski,0,5,134,0,0,5:00,Loss,Featherweight,1500,25.0
30,Amanda Nunes,,U-DEC,Germaine de Randamie,5,5,79,2,8,5:00,Win,Women's Bantamweight,1500,25.0
31,Germaine de Randamie,,U-DEC,Amanda Nunes,0,5,40,1,0,5:00,Loss,Women's Bantamweight,1500,25.0
32,Marlon Moraes,,S-DEC,Jose Aldo,1,3,59,0,1,5:00,Win,Bantamweight,900,15.0
33,Jose Aldo,,S-DEC,Marlon Moraes,0,3,58,0,0,5:00,Loss,Bantamweight,900,15.0
34,Petr Yan,Kick,KO/TKO,Urijah Faber,1,3,54,0,2,0:43,Win,Bantamweight,643,10.716666666666667
35,Urijah Faber,Kick,KO/TKO,Petr Yan,0,3,18,0,0,0:43,Loss,Bantamweight,643,10.716666666666667
36,Geoff Neal,Punches,KO/TKO,Mike Perry,0,1,15,0,0,1:30,Win,Welterweight,90,1.5
37,Mike Perry,Punches,KO/TKO,Geoff Neal,0,1,5,0,0,1:30,Loss,Welterweight,90,1.5
38,Irene Aldana,Punch,KO/TKO,Ketlen Vieira,0,1,26,0,0,4:51,Win,Women's Bantamweight,291,4.85
39,Ketlen Vieira,Punch,KO/TKO,Irene Aldana,0,1,20,0,0,4:51,Loss,Women's Bantamweight,291,4.85
40,Omari Akhmedov,,U-DEC,Ian Heinisch,1,3,55,0,2,5:00,Win,Middleweight,900,15.0
41,Ian Heinisch,,U-DEC,Omari Akhmedov,0,3,53,0,3,5:00,Loss,Middleweight,900,15.0
42,Matt Brown,Punches,KO/TKO,Ben Saunders,3,2,30,0,2,4:55,Win,Welterweight,595,9.916666666666666
43,Ben Saunders,Punches,KO/TKO,Matt Brown,0,2,12,4,0,4:55,Loss,Welterweight,595,9.916666666666666
44,Chase Hooper,Elbows,KO/TKO,Daniel Teymur,2,1,20,2,1,4:34,Win,Featherweight,274,4.566666666666666
45,Daniel Teymur,Elbows,KO/TKO,Chase Hooper,0,1,2,1,0,4:34,Loss,Featherweight,274,4.566666666666666
46,Brandon Moreno,,U-DEC,Kai Kara-France,0,3,91,0,0,5:00,Win,Flyweight,900,15.0
